number,fermat method,classical method
41908604535,25248.183,66207.814
39719304326,27349.102,63444.301
41005150695,25011.192,65740.487
41580739731,26122.422,65941.582
39182975233,27131.628,62450.638
41438049476,25776.637,65536.346
43037105867,25791.681,67589.135
43690446812,26484.938,68043.718
40284956910,26847.991,64038.048
44231517191,24791.191,69125.462
41566964074,26478.629,65553.979
42635034339,26003.151,66543.963
41740053330,26634.023,65947.882
42847343878,24407.543,68255.429
42582871414,26521.091,65807.936
43883261709,24456.827,68479.432
41653258776,26889.377,64814.763
42517414200,26202.689,66820.18
45366008714,26108.923,69101.055
43973889768,27122.477,67417.816
44013618088,27428.178,66807.607
45115374907,25197.471,69112.665
46054359582,27704.452,69537.727
43103574239,26935.509,66562.05
44855302886,27504.727,67359.179
45324649379,28930.864,68808.264
45948085000,26820.282,69364.177
48716811280,24390.615,73064.547
44381772384,27350.522,67834.613
45705452275,26956.151,69130.581
45760241579,27748.841,68825.696
46504305227,25278.484,70780.356
45968885172,27715.224,68764.625
45965806716,28213.254,69276.407
49727773950,27401.377,73169.837
49757929333,25852.334,73158.239
44689821863,28449.132,67199.991
46992732475,28600.931,70179.737
48870580884,27244.646,71995.019
49186956599,27013.869,72388.642
49179635260,27868.069,71426.067
47635490967,26735.537,70748.246
50188878051,26966.763,73302.43
49386040390,25693.288,72077.018
49768565313,28072.977,71891.281
46882071874,28917.432,68814.223
50130823560,30148.385,71699.462
49380132770,30138.589,71451.211
50278968863,27345.041,73461.337
52634085991,27614.378,75160.216
48964913907,30189.612,70142.291
49117687180,30233.906,70913.503
51702807113,27688.523,73953.673
52089782226,29806.719,73196.31
50975037487,30196.407,71745.585
48951374841,29396.092,70399.317
51836844493,26530.946,74213.557
54924067792,27976.6,77112.022
53828488381,29028.995,75133.203
48082393346,30177.239,69526.376
52947564516,30062.616,74183.43
50645080993,30272.255,71722.969
52048494761,29352.86,73441.648
54030366368,30998.185,74911.641
52759012002,27968.469,74233.549
52899268795,29250.845,74152.892
52283642151,29707.81,72906.309
54772220158,28235.15,75334.362
53858782041,29571.78,74277.019
57094135434,28044.458,77945.577
55910130847,27746.01,76788.515
55557458988,29259.421,75987.335
53794913084,31113.167,74308.032
57517724677,28471.844,78903.848
52026804754,30394.613,72433.439
55848118907,28780.863,77231.184
57342289755,31422.697,77159.228
57351296767,31300.978,77125.158
59639758912,29514.491,80080.344
57291892389,30789.371,77253.005
56134541187,29490.839,76417.866
57641314923,29593.276,78063.217
60593159093,28292.484,80513.448
58742154348,28514.607,78830.261
57070621828,28913.785,77179.035
57567493093,30205.506,77455.635
58172874150,31578.685,76954.248
58710757121,33717.092,77197.362
59047367838,29263.27,79004.385
61247973859,29537.877,81161.283
59113106052,28658.747,79349.281
58274604070,32386.546,76825.073
58742032154,32290.0,76499.006
59914572941,30934.132,78840.11
62129649609,29787.456,80341.026
63836549913,31458.521,82421.943
59219173103,34264.436,77230.108
64711147690,31599.342,83050.347
60506134212,29977.762,79988.321
58217010292,29556.695,77654.756
62563163747,28013.808,82168.572
63669750152,33937.235,80628.262
63408870628,32698.995,81057.394
62173014197,32148.587,80116.369
61653752828,32562.682,79999.401
60376817098,32780.728,78823.288
63965883322,33009.564,81136.636
63057035857,33257.025,80258.701
65302272101,29491.874,83685.705
61365994562,33630.714,79421.991
64383661778,32376.765,82322.115
66340609726,31099.526,83305.468
66161949417,32897.866,82691.415
64295567182,30928.241,81694.695
64220466991,33120.116,81555.794
65788850184,33138.094,82713.561
66565834438,31519.808,84096.891
65958555669,31473.519,84134.605
65362726798,34914.962,82021.799
