cap,fermat method,classical method
380000,23137.266,59376.978
381000,22402.304,58877.824
382000,23260.46,57264.64
383000,22828.866,59025.596
384000,22325.774,58796.792
385000,25991.26,56936.402
386000,24783.784,58752.152
387000,24296.928,57446.29
388000,23822.28,58474.322
389000,24165.132,60910.758
390000,23642.68,58342.356
391000,23123.48,63853.458
392000,25594.718,55099.938
393000,24452.05,60069.186
394000,23685.544,59518.034
395000,23383.626,61233.712
396000,25155.4,61441.554
397000,25271.31,58824.776
398000,25400.428,59886.478
399000,23596.234,60690.434
400000,26829.766,59283.678
401000,25039.454,61501.508
402000,23912.334,63458.658
403000,26251.826,56875.388
404000,21245.538,67013.156
405000,25660.374,59479.832
406000,25069.54,56029.69
407000,26084.908,63022.94
408000,24653.436,62967.856
409000,26873.67,60396.02
410000,23126.248,63051.206
411000,26095.4,60131.844
412000,24654.058,66491.596
413000,22806.776,63912.37
414000,26357.924,63005.796
415000,25972.272,61094.32
416000,25990.7,65720.61
417000,24877.558,65789.656
418000,25706.74,64537.242
419000,25511.412,61431.458
420000,24146.904,70226.624
421000,24811.434,64389.566
422000,27650.988,63398.026
423000,26025.02,67290.91
424000,22254.218,67168.2
425000,27240.974,65017.43
426000,26532.304,64214.6
427000,25605.346,67186.846
428000,26726.792,66575.516
429000,25989.658,64755.294
430000,26174.614,67139.966
431000,28751.238,59573.786
432000,25719.55,66090.43
433000,25384.57,68115.582
434000,24002.932,66802.772
435000,26816.964,66888.8
436000,27110.146,69230.138
437000,25736.762,65632.726
438000,27809.474,67588.836
439000,26514.0,69321.488
440000,26360.698,66603.988
441000,26561.392,68697.794
442000,23120.688,70673.238
443000,28546.398,65343.478
444000,28392.908,67528.6
445000,24603.126,72225.544
446000,27099.994,66414.694
447000,28429.304,68892.32
448000,26841.56,70541.16
449000,28231.83,69132.96
450000,27716.472,68112.794
451000,25927.588,69316.15
452000,27364.676,69718.328
453000,25229.848,72841.324
454000,30410.692,67268.872
455000,26058.108,69518.248
456000,26179.838,73051.032
457000,30022.082,68032.912
458000,29876.814,69186.398
459000,28846.954,68620.506
460000,28382.16,68374.922
461000,25187.128,76346.128
462000,25639.8,73054.062
463000,28310.536,70479.03
464000,28604.508,71785.924
465000,27528.692,74898.478
466000,29869.91,71711.192
467000,28524.834,70456.34
468000,28152.222,71624.008
469000,28910.662,71903.954
470000,28742.118,69663.47
471000,29069.24,70262.23
472000,27509.52,76880.47
473000,33565.23,70454.942
474000,29931.822,72316.57
475000,29931.03,75776.39
476000,28978.39,76957.468
477000,31585.996,66920.134
478000,27970.492,72980.208
479000,30495.174,69436.534
480000,31043.702,70474.922
481000,29369.16,74073.042
482000,30413.404,72156.626
483000,27693.43,73041.66
484000,30697.406,72970.704
485000,29226.82,72691.374
486000,31527.502,74322.4
487000,28859.892,73551.97
488000,31738.064,73940.904
489000,31832.384,76100.3
490000,29524.94,73661.918
491000,27935.83,77350.83
492000,28195.952,77801.944
493000,30673.736,76304.064
494000,30718.898,79171.89
495000,30480.478,74566.464
496000,28640.936,78047.146
497000,27794.514,76985.774
498000,29373.902,75534.606
499000,29906.506,78678.718
500000,28286.876,78393.222
501000,29748.346,78564.692
502000,28405.956,78022.664
503000,29671.568,81429.214
504000,32434.316,76573.576
505000,30990.114,78518.632
506000,28791.424,79820.006
507000,31876.108,75433.166
508000,33777.44,77312.308
509000,30948.478,77990.236
510000,32085.994,75585.504
511000,30738.86,78999.992
512000,31229.186,77787.368
513000,29752.738,80529.038
514000,32467.704,76167.754
515000,30254.812,81609.964
516000,31236.242,77303.388
517000,31693.424,79190.866
518000,29415.952,80367.688
519000,27570.22,83632.2
520000,31872.178,80336.064
521000,32365.308,79756.446
522000,32957.414,79249.212
523000,33665.17,77332.46
524000,32635.004,77590.878
525000,30952.348,81515.344
526000,35448.962,80075.448
527000,30132.73,85976.804
528000,31804.406,80370.698
529000,31456.782,81410.058
530000,30339.02,83145.318
531000,31405.846,81347.922
532000,33954.514,81971.114
533000,32434.646,84814.19
534000,26874.132,86927.838
535000,33674.31,81056.278
536000,31247.624,88617.428
537000,30382.036,82441.318
538000,34573.676,85076.55
539000,34495.96,81793.866
540000,32267.334,85124.732
541000,30316.404,85059.246
542000,29500.644,85331.882
543000,31128.406,83881.646
544000,36215.808,80517.396
545000,34873.448,84477.966
546000,32279.864,81713.948
547000,32261.436,90241.766
548000,32296.12,87593.388
549000,33038.704,84790.578
550000,28813.658,92077.898
551000,35229.11,82213.648
552000,36978.782,80934.246
553000,32240.704,89354.314
554000,33220.902,87145.824
555000,37466.964,82434.106
556000,35309.798,82335.932
557000,33140.392,89949.028
558000,32810.548,84238.622
559000,33513.356,83372.626
560000,31399.388,89811.482
561000,34341.712,85022.7
562000,33677.292,89164.604
563000,35643.942,84188.844
564000,34938.248,85491.688
565000,34057.304,88177.364
566000,33817.69,83159.402
567000,34657.904,87462.038
568000,36529.108,88172.464
569000,35176.504,83306.46
570000,32332.864,85862.612
571000,36255.326,87704.276
572000,35281.804,90804.766
573000,35697.916,85926.926
574000,33349.156,94041.918
575000,36794.69,85781.136
576000,35078.346,90287.848
577000,33513.296,88593.7
578000,33974.674,90633.03
579000,36029.446,90560.282
580000,34245.72,93661.948
581000,34518.042,89284.92
582000,37044.284,91253.032
583000,37333.606,91532.586
584000,35336.734,88790.646
585000,35359.824,88132.148
586000,33667.162,94044.024
587000,37011.924,91035.256
588000,36289.97,89394.6
589000,33877.442,88142.062
590000,37853.776,91373.3
591000,39330.162,89653.162
592000,35110.474,90263.906
593000,32894.056,93311.16
594000,33679.998,94540.916
595000,34343.68,93596.604
596000,36622.906,93145.434
597000,40116.096,93561.156
598000,33578.608,97370.198
599000,38466.634,88936.81
600000,35474.108,92180.45
601000,35319.554,91570.342
602000,38561.354,92787.118
603000,37962.87,90510.6
604000,37080.648,96343.0
605000,37752.53,94338.142
606000,35612.914,92869.608
607000,30319.824,100297.722
608000,39047.396,92621.85
609000,37786.074,89248.894
610000,38259.02,90595.19
611000,37146.83,91329.878
612000,35533.956,93611.744
613000,36442.13,98024.184
614000,38568.616,92977.796
615000,39172.0,93883.624
616000,39017.23,91427.076
617000,37871.7,91253.502
618000,36777.872,90943.746
619000,32044.056,98782.622
620000,34520.79,99913.93
621000,41808.856,95612.988
622000,36421.456,96531.366
623000,41725.598,92270.742
624000,40986.646,90879.558
625000,37600.404,90708.752
626000,35573.64,101059.596
627000,39534.968,94030.824
628000,38364.186,88657.536
629000,38641.912,93939.11
630000,39686.04,96166.888
631000,38017.526,100452.154
632000,38574.484,99442.136
633000,37524.046,99031.916
634000,40094.876,96460.208
635000,35430.132,100219.046
636000,40927.224,94799.812
637000,33895.406,100065.996
638000,38118.386,99225.764
639000,38912.02,94429.41
640000,38311.97,99510.976
641000,40543.986,97947.864
642000,38704.318,102958.434
643000,39572.636,97249.102
644000,39932.488,101963.66
645000,32407.982,101124.16
646000,37824.438,97790.544
647000,36632.768,101335.288
648000,42993.5,100411.672
649000,37723.798,102198.306
650000,38538.064,101989.32
651000,39900.872,96109.902
652000,35139.45,105664.694
653000,38279.536,104006.54
654000,40175.812,102624.2
655000,43373.696,92609.554
656000,41179.746,97007.734
657000,42470.318,101757.998
658000,42796.264,90846.994
659000,42060.382,102029.864
660000,39654.902,100597.04
661000,38084.108,102813.268
662000,36429.198,105357.376
663000,43211.544,98610.508
664000,42358.136,94916.034
665000,40854.56,99479.89
666000,39629.504,104156.32
